url,price,image_url,type,deposit,comission,minimal lease,structure,furnished,size,available_from,neighborhood,heating,bedrooms,window_type,bathrooms,intercom,year_built,security,renovated,cameras,floor,fireplace,elevator,terrace,parking,images
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1978/,400 €,https://www.square.mk/wp-content/uploads/2024/11/image002-3.jpg,rent,400 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,46 m2,Веднаш,Центар,Парно,1,ПВЦ,1,Да,2017,Не,Да,Не,2,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/11/image007-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image002-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image007-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1978/,400 €,https://www.square.mk/wp-content/uploads/2024/11/image002-3.jpg,rent,400 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,46 m2,Веднаш,Центар,Парно,1,ПВЦ,1,Да,2017,Не,Да,Не,2,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/11/image007-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image002-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image007-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/11/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/10247/,650 €,https://www.square.mk/wp-content/uploads/2025/07/IMG_5757.jpg,rent,650 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,66 m2,Веднаш,Џевахир,Инвертер,2,ПВЦ,1,Да,2023,Да,Нов,Да,,Не,Да,Не,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5766.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5757.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5758.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5766.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5757.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1903/,370 €,https://www.square.mk/wp-content/uploads/2024/09/image001-3.jpg,rent,370 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,45 m2,Веднаш,Центар,Парно,1,ПВЦ,1,Да,1975,Не,2023,Не,1,Не,Да,Не,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2024/09/image006-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image002-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image006-3.jpg', 'https://www.square.mk/wp-content/uploads/2024/09/image001-3.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1195/,500 €,https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00001.jpg,rent,500 €,БЕЗ ПРОВИЗИЈА,6 месеци,Двособен,Да,51 m2,Веднаш,Тафталиџе,Парно,1,Алуминиум,1,Да,2019,Да,2022,Да,8,Не,Да,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00010.jpg', 'https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00001.jpg', 'https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00000.jpg', 'https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00010.jpg', 'https://www.square.mk/wp-content/uploads/2023/04/1195_WEB_00001.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1497/,600 €,https://www.square.mk/wp-content/uploads/2023/11/IMG_1886.jpg,rent,600 €,БЕЗ ПРОВИЗИЈА,6 месеци,Трособен,Да,95 m2,Веднаш,Тафталиџе,Парно,2,ПВЦ,2,Да,2003,Не,Да,Не,4,Не,Да,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/11/IMG_1898.jpg', 'https://www.square.mk/wp-content/uploads/2023/11/IMG_1886.jpg', 'https://www.square.mk/wp-content/uploads/2023/11/IMG_1887.jpg', 'https://www.square.mk/wp-content/uploads/2023/11/IMG_1898.jpg', 'https://www.square.mk/wp-content/uploads/2023/11/IMG_1886.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/10246/,600 €,https://www.square.mk/wp-content/uploads/2025/07/IMG_5726.jpg,rent,600 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,70 m2,Веднаш,Козле,Инвертер,2,ПВЦ,1,Да,2015,Не,Да,Не,2,Не,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5738.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5726.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5727.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5738.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5726.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/10245/,550 €,https://www.square.mk/wp-content/uploads/2025/07/IMG_5713.jpg,rent,550 €,БЕЗ ПРОВИЗИЈА,12 месеци,Трособен,Да,55 m2,Веднаш,Водно,Инвертер,2,ПВЦ,1,Да,2023,Не,Нов,Не,1,Да,Да,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5723.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5713.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5714.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5723.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5713.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/10243/,450 €,https://www.square.mk/wp-content/uploads/2025/07/IMG_5702.jpg,rent,450 €,БЕЗ ПРОВИЗИЈА,12 месеци,Двособен,Да,52 m2,Веднаш,Центар,Инвертер,1,ПВЦ,1,Да,2023,Не,Нов,Не,4,Не,Да,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5710.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5702.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5703.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5710.jpg', 'https://www.square.mk/wp-content/uploads/2025/07/IMG_5702.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
https://www.square.mk/izdavanje-na-stanovi-vo-skopje/1057/,800 €,https://www.square.mk/wp-content/uploads/2023/09/IMG_8629.jpg,rent,800 €,БЕЗ ПРОВИЗИЈА,12 месеци,Четрисобен,Да,78 m2,Веднаш,Аеродром,Парно,3,ПВЦ,2,Да,2022,Да,Нов,Не,9,Не,Да,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/09/IMG_8638.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/IMG_8626.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/IMG_8627.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/IMG_8638.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/IMG_8626.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']"
